Year,Month,MonthNumber,Sales
2008,Feb,2,10737.0
2008,Mar,3,11440.0
2008,Apr,4,12892.0
2008,May,5,13751.0
2008,Jun,6,15175.0
2008,Jul,7,17966.0
2008,Aug,8,16494.0
2008,Sep,9,14242.0
2008,Oct,10,14138.0
2008,Nov,11,10745.0
2008,Dec,12,11402.0
2009,Jan,1,8031.0
2009,Feb,2,7299.0
2009,Mar,3,8697.0
2009,Apr,4,9541.0
2009,May,5,10802.0
2009,Jun,6,13564.0
2009,Jul,7,15751.0
2009,Aug,8,15696.0
2009,Sep,9,14593.0
2009,Oct,10,15375.0
2009,Nov,11,17544.0
2009,Dec,12,14450.0
2010,Jan,1,10318.0
2010,Feb,2,8711.0
2010,Mar,3,20969.0
2010,Apr,4,12876.0
2010,May,5,13296.0
2010,Jun,6,21216.0
2010,Jul,7,13774.0
2010,Aug,8,13019.0
2010,Sep,9,2396.0
2010,Oct,10,11197.0
2010,Nov,11,10901.0
2010,Dec,12,11828.0
2011,Jan,1,9786.0
2011,Feb,2,9366.0
2011,Mar,3,11025.0
2011,Apr,4,10896.0
2011,May,5,11913.0
2011,Jun,6,14532.0
2011,Jul,7,13784.0
2011,Aug,8,14808.0
2011,Sep,9,12728.0
2011,Oct,10,11395.0
2011,Nov,11,10637.0
2011,Dec,12,11843.0
2012,Jan,1,10138.0
2012,Feb,2,9035.0
2012,Mar,3,11071.0
2012,Apr,4,11297.0
2012,May,5,13617.0
2012,Jun,6,15815.0
2012,Jul,7,15666.0
2012,Aug,8,17041.0
2012,Sep,9,13492.0
2012,Oct,10,13365.0
2012,Nov,11,12448.0
2012,Dec,12,13723.0
2013,Jan,1,12294.0
2013,Feb,2,10358.0
2013,Mar,3,11951.0
2013,Apr,4,13413.0
2013,May,5,16529.0
2013,Jun,6,17405.0
2013,Jul,7,20152.0
2013,Aug,8,20840.0
2013,Sep,9,17993.0
2013,Oct,10,17966.0
2013,Nov,11,14798.0
2013,Dec,12,16010.0
2014,Jan,1,13016.0
2014,Feb,2,10420.0
2014,Mar,3,12276.0
2014,Apr,4,13096.0
2014,May,5,15305.0
2014,Jun,6,17679.0
2014,Jul,7,19649.0
2014,Aug,8,19475.0
2014,Sep,9,17414.0
2014,Oct,10,18199.0
2014,Nov,11,14167.0
2014,Dec,12,17040.0
2015,Jan,1,12893.0
2015,Feb,2,11854.0
2015,Mar,3,13963.0
2015,Apr,4,14299.0
2015,May,5,15978.0
2015,Jun,6,20893.0
2015,Jul,7,23155.0
2015,Aug,8,22158.0
2015,Sep,9,20435.0
2015,Oct,10,19969.0
2015,Nov,11,16403.0
2015,Dec,12,19124.0
2016,Jan,1,14932.0
2016,Feb,2,14577.0
2016,Mar,3,16863.0
2016,Apr,4,16515.0
2016,May,5,18344.0
2016,Jun,6,23164.0
2016,Jul,7,22025.0
2016,Aug,8,25014.0
2016,Sep,9,22098.0
2016,Oct,10,20092.0
2016,Nov,11,19233.0
2016,Dec,12,20762.0
2017,Jan,1,17984.0
2017,Feb,2,15309.0
2017,Mar,3,18595.0
2017,Apr,4,17585.0
2017,May,5,21542.0
2017,Jun,6,25343.0
2017,Jul,7,22859.0
2017,Aug,8,26938.0
2017,Sep,9,22083.0
2017,Oct,10,22018.0
2017,Nov,11,19700.0
2017,Dec,12,20158.0
2018,Jan,1,17425.0
2018,Feb,2,14838.0
2018,Mar,3,16912.0
2018,Apr,4,17963.0
2018,May,5,20622.0
2018,Jun,6,24021.0
2018,Jul,7,23796.0
2018,Aug,8,25913.0
2018,Sep,9,19348.0
2018,Oct,10,21990.0
2018,Nov,11,18969.0
2018,Dec,12,18363.0
2019,Jan,1,16094.0
2019,Feb,2,13419.0
2019,Mar,3,16034.0
2019,Apr,4,17055.0
2019,May,5,20156.0
2019,Jun,6,21321.0
2019,Jul,7,23210.0
2019,Aug,8,23679.0
2019,Sep,9,19896.0
2019,Oct,10,20531.0
2019,Nov,11,17634.0
2019,Dec,12,18932.0
2020,Jan,1,17042.0
2020,Feb,2,14142.0
2020,Mar,3,14802.0
2020,Apr,4,12438.0
2020,May,5,12917.0
2020,Jun,6,15455.0
2020,Jul,7,19310.0
2020,Aug,8,22457.0
2020,Sep,9,23977.0
2020,Oct,10,26535.0
2020,Nov,11,23406.0
2020,Dec,12,27065.0
2021,Jan,1,22395.0
2021,Feb,2,19216.0
2021,Mar,3,23749.0
2021,Apr,4,22086.0
2021,May,5,22196.0
2021,Jun,6,28028.0
2021,Jul,7,27813.0
2021,Aug,8,29035.0
2021,Sep,9,25499.0
2021,Oct,10,26166.0
2021,Nov,11,23925.0
2021,Dec,12,25363.0
2022,Jan,1,21437.0
2022,Feb,2,17692.0
2022,Mar,3,21063.0
2022,Apr,4,19351.0
2022,May,5,21495.0
2022,Jun,6,25284.0
2022,Jul,7,23472.0
2022,Aug,8,25387.0
2022,Sep,9,20973.0
2022,Oct,10,18762.0
2022,Nov,11,17523.0
2022,Dec,12,16356.0
2023,Jan,1,13428.0
2023,Feb,2,11563.0
2023,Mar,3,14458.0
2023,Apr,4,12884.0
2023,May,5,16321.0
2023,Jun,6,19111.0
2023,Jul,7,17272.0
2023,Aug,8,19973.0
2023,Sep,9,17058.0
2023,Oct,10,16770.0
2023,Nov,11,14936.0
2023,Dec,12,14302.0
2024,Jan,1,13099.0
2024,Feb,2,11185.0
2024,Mar,3,12469.0
2024,Apr,4,13738.0
2024,May,5,15648.0
2024,Jun,6,15934.0
2024,Jul,7,18239.0
2024,Aug,8,18743.0
2024,Sep,9,15850.0
2024,Oct,10,16291.0
2024,Nov,11,14592.0
2024,Dec,12,15969.0
2025,Jan,1,13660.0
2025,Feb,2,11199.0
2025,Mar,3,13110.0
2025,Apr,4,13789.0
2025,May,5,15069.0
2025,Jun,6,16545.0
2025,Jul,7,18329.0
2025,Aug,8,17626.0
2025,Sep,9,17010.0
